Region,Sexo,Edad,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035
1,1,0,2345,2362,2442,2462,2457,2559,2672,2832,2899,2963,2960,2937,2955,2958,2888,2694,2729,2841,2974,3047,3071,3077,3075,3067,3061,3052,3043,3034,3022,3038,3036,3032,3029,3025
1,1,1,2357,2344,2363,2443,2463,2459,2562,2675,2836,2907,2974,2963,2942,2959,2961,2896,2738,2780,2890,2993,3052,3073,3077,3075,3067,3061,3052,3043,3034,3022,3038,3036,3033,3030
1,1,2,2358,2358,2346,2365,2446,2467,2462,2565,2678,2843,2916,2976,2966,2944,2959,2968,2940,2797,2838,2912,2996,3051,3071,3075,3073,3065,3059,3050,3041,3032,3020,3036,3034,3031
1,1,3,2368,2359,2360,2347,2366,2448,2468,2462,2565,2681,2847,2914,2974,2962,2939,2962,3011,3007,2861,2860,2912,2992,3046,3065,3069,3067,3060,3055,3046,3037,3028,3016,3032,3030
1,1,4,2368,2369,2361,2360,2347,2367,2447,2466,2458,2564,2681,2841,2908,2967,2955,2939,3003,3079,3073,2883,2859,2906,2985,3039,3059,3063,3061,3054,3049,3040,3030,3021,3009,3025
1,1,5,2380,2371,2370,2361,2360,2346,2364,2442,2460,2454,2558,2671,2830,2896,2958,2952,2977,3068,3142,3092,2879,2850,2897,2976,3030,3050,3054,3052,3045,3040,3031,3021,3012,3000
1,1,6,2397,2385,2377,2376,2368,2367,2354,2371,2447,2468,2462,2558,2672,2831,2900,2974,2988,3039,3129,3159,3087,2869,2840,2887,2966,3020,3040,3044,3042,3035,3030,3020,3010,3001
1,1,7,2408,2403,2394,2384,2385,2377,2377,2362,2376,2455,2475,2462,2558,2672,2835,2913,3007,3046,3096,3145,3153,3077,2858,2829,2876,2955,3008,3028,3032,3030,3023,3018,3008,2999
1,1,8,2417,2416,2413,2405,2394,2395,2388,2387,2369,2385,2464,2475,2462,2559,2677,2848,2947,3066,3103,3112,3140,3143,3067,2848,2819,2865,2944,2997,3017,3021,3019,3012,3007,2997
1,1,9,2403,2430,2430,2426,2417,2406,2408,2398,2395,2379,2394,2466,2476,2465,2567,2691,2883,3007,3124,3121,3109,3132,3134,3059,2839,2810,2856,2935,2988,3008,3012,3010,3003,2998
